nct_id,intervention_type,intervention_name
NCT05800132,DEVICE,MammoScreen
NCT05059444,DIAGNOSTIC_TEST,Guardant Reveal
NCT05245812,DEVICE,da Vinci SP Surgical System
NCT06660628,RADIATION,Large Segmentation Radiotherapy
NCT06660628,DEVICE,DIBH
NCT06660628,DEVICE,Surface guided radiation therapy
NCT06660628,DEVICE,laser alignment
NCT06660628,BEHAVIORAL,free breathing
NCT07367698,DEVICE,Implantation of the PCL Breast scaffold with autologous fat grafting
NCT07469267,RADIATION,Entire regional nodal irradiation
NCT07469267,RADIATION,Level I-II axillary irradiation
NCT03823144,DEVICE,Diagnostic Microscopy
NCT03823144,DRUG,Fluorescein Sodium Injection
NCT07158021,PROCEDURE,Biospecimen Collection
NCT07158021,OTHER,Electronic Health Record Review
NCT07158021,DRUG,Goserelin
NCT07158021,DRUG,Leuprolide
NCT07158021,OTHER,Questionnaire Administration
NCT07541664,BEHAVIORAL,DMBT
NCT06595563,DRUG,Trastuzumab emtansine
NCT05841355,OTHER,Educate
NCT05841355,OTHER,Empower
NCT07622836,DRUG,Aipaluoli-tovorilimab plus AC-T chemotherapy as postoperative adjuvant therapy
NCT07436078,BEHAVIORAL,Culturally adapted Online Genetic Counseling and Testing Information
NCT07283692,DRUG,Serplulimab
NCT07283692,DRUG,Paclitaxel
NCT07283692,DRUG,Carboplatin
NCT07213271,OTHER,Dance classes
NCT07222267,DRUG,BG-75202
NCT07222267,DRUG,CDK4 Inhibitor
NCT07222267,DRUG,Estrogen Receptor Antagonist
NCT07222267,DRUG,Aromatase Inhibitor
NCT05216900,RADIATION,Neoadjuvant radiotherapy
NCT06682793,BIOLOGICAL,A2B395
NCT06682793,DIAGNOSTIC_TEST,xT CDx with HLA-LOH assay
NCT06152835,OTHER,Data and breast milk samples collection
NCT05544240,DRUG,SV-101
NCT01766297,RADIATION,Proton Radiotherapy
NCT06505018,DEVICE,Cureety techcare
NCT05766410,DRUG,Palbociclib
NCT05766410,DRUG,Ribociclib
NCT05766410,DRUG,Abemaciclib
NCT05766410,DRUG,Letrozole
NCT07327489,PROCEDURE,Biopsy
NCT07591090,DRUG,AK146D1 for injection
NCT07591090,DRUG,AK112 Injection
NCT07064018,DRUG,Spedox-6
NCT07064018,DRUG,Pegfilgrastim
NCT07064018,DRUG,Filgrastim
NCT05675397,DIETARY_SUPPLEMENT,donor human milk
NCT04683679,DRUG,Pembrolizumab
NCT04683679,DRUG,Olaparib
NCT04683679,RADIATION,Radiation
NCT07252726,OTHER,Morning administration of CDK4/6 inhibitor
NCT07252726,OTHER,Evening administration of CDK4/6 inhibitor
NCT07252726,OTHER,Morning administration of ARPI
NCT07252726,OTHER,Evening administration of ARPI
NCT06563726,DIAGNOSTIC_TEST,point-of-care milk sodium testing
NCT04468061,DRUG,Sacituzumab Govitecan
NCT04468061,DRUG,Pembrolizumab
NCT06555068,DRUG,HRS-6209 in Combination with Fulvestrant
NCT06555068,DRUG,HRS-6209 in Combination with HRS-1358
NCT06555068,DRUG,HRS-6209 in Combination with Letrozole
NCT06555068,DRUG,HRS-6209 in Combination with HRS-8080
NCT06555068,DRUG,HRS-6209 in Combination with HRS-9813 and Letrozole
NCT06555068,DRUG,HRS-6209 in Combination with HRS-9813 and HRS-8080
NCT07713160,OTHER,Grandma breastfeeding training
NCT07713160,OTHER,father breastfeeding training
